exchange_pair,currency_pair
poloniex/binance,MATIC/USDT
poloniex/binance,IMX/USDT
poloniex/binance,DOT/USDT
poloniex/binance,XEM/USDT
poloniex/binance,PENDLE/USDT
poloniex/binance,LRC/BTC
poloniex/binance,BNT/BTC
poloniex/binance,NEXO/USDT
poloniex/binance,XTZ/BTC
poloniex/binance,BADGER/USDT
poloniex/binance,AGLD/USDT
poloniex/binance,XMR/BTC
poloniex/binance,KNC/USDT
poloniex/binance,BCH/USDC
poloniex/binance,RSR/USDT
poloniex/binance,XMR/USDT
poloniex/binance,ETC/USDC
poloniex/binance,CVC/BTC
poloniex/binance,WRX/USDT
poloniex/binance,SLP/USDT
poloniex/binance,GRT/USDT
poloniex/binance,EOS/BTC
poloniex/binance,BSV/USDC
poloniex/binance,FIL/BTC
poloniex/binance,CLV/USDT
poloniex/binance,LINK/BTC
poloniex/binance,REN/USDT
poloniex/binance,HIGH/USDT
poloniex/binance,DOT/BTC
poloniex/binance,QI/USDT
poloniex/binance,FLOKI/USDT
poloniex/binance,BNB/USDC
poloniex/binance,EOS/USDT
poloniex/binance,YFII/USDT
poloniex/binance,ID/USDT
poloniex/binance,REP/BTC
poloniex/binance,LRC/USDT
poloniex/binance,TRX/BTC
poloniex/binance,LPT/USDT
poloniex/binance,MANA/BTC
poloniex/binance,JST/USDT
poloniex/binance,WOO/USDT
poloniex/binance,LPT/BTC
poloniex/binance,REQ/USDT
poloniex/binance,BURGER/USDT
poloniex/binance,XLM/USDC
poloniex/binance,BTT/USDC
poloniex/binance,SXP/BTC
poloniex/binance,VGX/USDT
poloniex/binance,MANA/USDT
poloniex/binance,FTM/BTC
poloniex/binance,SOL/USDC
poloniex/binance,LDO/USDT
poloniex/binance,STMX/USDT
poloniex/binance,LINK/USDC
poloniex/binance,GAS/USDT
poloniex/binance,LSK/USDT
poloniex/binance,YFI/USDT
poloniex/binance,ADA/USDC
poloniex/binance,QUICK/USDT
poloniex/binance,QTUM/BTC
poloniex/binance,FXS/USDT
poloniex/binance,ATOM/BTC
poloniex/binance,BAL/USDT
poloniex/binance,ILV/USDT
poloniex/binance,FARM/USDT
poloniex/binance,BAKE/USDT
poloniex/binance,ALPHA/USDT
poloniex/binance,FTM/USDT
poloniex/binance,ALICE/USDT
poloniex/binance,XEM/BTC
poloniex/binance,XTZ/USDT
poloniex/binance,LTC/USDT
poloniex/binance,FRONT/BTC
poloniex/binance,SNT/BTC
poloniex/binance,FTT/USDT
poloniex/binance,LUNA/USDT
poloniex/binance,AI/USDT
poloniex/binance,ALPACA/USDT
poloniex/binance,SAND/BTC
poloniex/binance,PERL/USDT
poloniex/binance,SPELL/USDT
poloniex/binance,GLM/USDT
poloniex/binance,STORJ/BTC
poloniex/binance,REN/BTC
poloniex/binance,OOKI/USDT
poloniex/binance,TLM/USDT
poloniex/binance,AVA/USDT
poloniex/binance,MATIC/USDC
poloniex/binance,HNT/USDT
poloniex/binance,ADA/BTC
poloniex/binance,STPT/BTC
poloniex/binance,OG/USDT
poloniex/binance,PLA/USDT
poloniex/binance,BICO/USDT
poloniex/binance,C98/USDT
poloniex/binance,FARM/BTC
poloniex/binance,LSK/BTC
poloniex/binance,YGG/USDT
poloniex/binance,LTC/USDC
poloniex/binance,AERGO/USDT
poloniex/binance,TRX/USDC
poloniex/binance,BSV/BTC
poloniex/binance,BAND/USDT
poloniex/binance,ARDR/USDT
poloniex/binance,ATM/USDT
poloniex/binance,SRM/USDT
poloniex/binance,BOND/USDT
poloniex/binance,LTC/BTC
poloniex/binance,JTO/USDT
poloniex/binance,MKR/BTC
poloniex/binance,RAY/USDT
poloniex/binance,COMP/USDT
poloniex/binance,MAV/USDT
poloniex/binance,ICP/USDT
poloniex/binance,OCEAN/USDT
poloniex/binance,AVAX/USDT
poloniex/binance,LQTY/USDT
poloniex/binance,ZEC/USDT
poloniex/binance,BTC/USDT
poloniex/binance,LOOM/BTC
poloniex/binance,API3/USDT
poloniex/binance,PORTO/USDT
poloniex/binance,ORDI/USDT
poloniex/binance,XRP/USDT
